"text","book","chapter"
"She looked distinctly ruffled.  `How did you know it was me?`","Book 1: Philosopher's Stone","chap-1"
"she asked.  `My dear Professor, I 've never seen a cat","Book 1: Philosopher's Stone","chap-1"
"sit so stiffly.`  `You'd be stiff if you'd been sitting on","Book 1: Philosopher's Stone","chap-1"
"a brick wall all day,` said Professor McGonagall.  `All day? When","Book 1: Philosopher's Stone","chap-1"
"you could have been celebrating? I must have passed a dozen feasts","Book 1: Philosopher's Stone","chap-1"
"and parties on my way here.`  Professor McGonagall sniffed angrily. ","Book 1: Philosopher's Stone","chap-1"
"`Oh yes, everyone's celebrating, all right,` she said impatiently. `You'd think they'd","Book 1: Philosopher's Stone","chap-1"
"be a bit more careful, but no -- even the Muggles have","Book 1: Philosopher's Stone","chap-1"
"noticed something's going on. It was on their news.` She jerked her","Book 1: Philosopher's Stone","chap-1"
"head back at the Dursleys' dark living-room window. `I heard it. Flocks","Book 1: Philosopher's Stone","chap-1"
"of owls... shooting stars.... Well, they're not completely stupid. They were bound","Book 1: Philosopher's Stone","chap-1"
"to notice something. Shooting stars down in Kent -- I'll bet that","Book 1: Philosopher's Stone","chap-1"
"was Dedalus Diggle. He never had much sense.`  `You can't blame","Book 1: Philosopher's Stone","chap-1"
"them,` said Dumbledore gently. `We've had precious little to celebrate for eleven","Book 1: Philosopher's Stone","chap-1"
"years.`  `I know that,` said Professor McGonagall irritably. `But that's no","Book 1: Philosopher's Stone","chap-1"
"reason to lose our heads. People are being downright careless, out on","Book 1: Philosopher's Stone","chap-1"
"the streets in broad daylight, not even dressed in Muggle clothes, swapping","Book 1: Philosopher's Stone","chap-1"
"rumors.`  She threw a sharp, sideways glance at Dumbledore here, as","Book 1: Philosopher's Stone","chap-1"
"though hoping he was going to tell her something, but he didn't,","Book 1: Philosopher's Stone","chap-1"
"so she went on. `A fine thing it would be if, on","Book 1: Philosopher's Stone","chap-1"
"the very day YouKnow-Who seems to have disappeared at last, the Muggles","Book 1: Philosopher's Stone","chap-1"
"found out about us all. I suppose he really has gone, Dumbledore?`","Book 1: Philosopher's Stone","chap-1"
" `It certainly seems so,` said Dumbledore. `We have much to be","Book 1: Philosopher's Stone","chap-1"
"thankful for. Would you care for a lemon drop?`  `A what?`","Book 1: Philosopher's Stone","chap-1"
" `A lemon drop. They're a kind of Muggle sweet I'm rather","Book 1: Philosopher's Stone","chap-1"
"fond of`  `No, thank you,` said Professor McGonagall coldly, as though","Book 1: Philosopher's Stone","chap-1"
"she didn't think this was the moment for lemon drops. `As I","Book 1: Philosopher's Stone","chap-1"
"say, even if You-Know-Who has gone -`  `My dear Professor, surely","Book 1: Philosopher's Stone","chap-1"
